SessionFile,PlayerID,Person,Label,CheatType,SessionDurationSeconds,AimAngularSpeedMean,AimAngularSpeedStdDev,AimAngularErrorMean,AimAngularErrorStdDev,AimErrorSampleCount,AimFlipRatio,MovementSpeedMean,MovementSpeedMax,DirectionChangesPerSecond,SpeedViolationRatio,MovementPathEntropy,ReactionTimeMean,ReactionTimeStdDev,ShotIntervalMean,ShotIntervalStdDev,ShotsPerSecond,HitRate,HeadshotRate,KillsPerMinute,KillDeathRatio,TotalShots,TotalHits,TotalKills,TotalDeaths
session_2026-08-13_12-37-03.csv,DESKTOP-375SOSC-ECA1,Joni,0,,96.1766,59.5944,123.6486,15.526,7.1457,33,0.0021,524.0438,600.0,0.4471,0.0,2.9644,0.7742,1.5677,0.17,0.0947,0.6031,0.0345,0.0,0.0,0.0,58,2,0,8
session_2026-08-13_12-41-33.csv,DESKTOP-375SOSC-ECA1,Joni,1,aimbot+triggerbot,119.6537,57.3921,184.9032,11.8718,13.4448,173,0.0134,247.1255,749.1176,0.5683,0.0008,2.9897,0.2056,0.5522,0.1875,0.3436,1.73,0.256,0.0,1.5043,0.5,207,53,3,6
session_2026-08-13_12-41-33.csv,Phileas-PC-338CF49F4,Phileas,0,,109.5486,63.5758,102.5429,6.5535,7.6451,229,0.0009,527.0681,603.9425,0.4108,0.0,2.971,0.1822,0.278,0.2366,0.5439,2.9941,0.2348,0.0,2.7385,0.625,328,77,5,8
session_2026-08-13_12-41-33.csv,Krystall-8CBC35F24BD,Peter,0,,137.7578,37.0483,73.8682,9.7325,12.2787,393,0.0,296.021,600.0,0.7912,0.0,2.9479,0.1105,0.407,0.1453,0.373,4.2393,0.1729,0.0,3.4844,2.6667,584,101,8,3
session_2026-08-13_12-41-33.csv,Stacjonarny-CA89EB15,Mateusz,0,,134.8852,29.6402,62.8154,10.8609,12.0574,100,0.0,296.5404,600.0,0.4522,0.0,2.987,0.229,0.3301,0.3697,1.0369,1.0379,0.2571,0.0,1.7793,1.3333,140,36,4,3
session_2026-08-13_12-41-33.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,124.758,45.4696,98.4351,8.692,10.6217,167,0.0,308.0854,600.0,0.3847,0.0,2.9244,0.2218,0.6246,0.1874,0.4084,1.7153,0.215,0.0,1.9237,0.8,214,46,4,5
session_2026-08-13_12-44-52.csv,Stacjonarny-CA89EB15,Mateusz,0,,114.6312,55.0138,85.3777,11.0744,10.5956,121,0.0,497.9083,600.0,0.4885,0.0,2.9689,0.3204,0.6746,0.3754,0.8541,1.2736,0.3288,0.0,3.1405,0.8571,146,48,6,7
session_2026-08-13_12-44-52.csv,Phileas-PC-338CF49F4,Phileas,0,,119.7389,70.8912,99.722,7.8376,8.9892,349,0.0,522.8087,600.0,0.6514,0.0,2.982,0.1605,0.4982,0.1836,0.4646,3.7749,0.2279,0.0,4.5098,1.5,452,103,9,6
session_2026-08-13_12-44-52.csv,Krystall-8CBC35F24BD,Peter,0,,135.0751,58.8177,91.6148,9.1564,9.5639,458,0.0,437.8697,600.0,0.5626,0.0,2.9874,0.1265,0.4683,0.1717,0.4839,4.1829,0.2035,0.0,4.442,3.3333,565,115,10,3
session_2026-08-13_12-44-52.csv,DESKTOP-375SOSC-ECA1,Joni,0,,107.8773,42.691,104.5871,14.8383,8.5169,30,0.0,338.5813,600.0,0.3893,0.0,2.8599,0.5969,1.2178,0.2014,0.1031,0.3523,0.0789,0.0,0.0,0.0,38,3,0,8
session_2026-08-13_12-44-52.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,121.0404,55.6863,92.3027,9.5392,10.0696,247,0.0,398.7498,600.0,0.6031,0.0,2.9784,0.2721,0.7905,0.218,0.4034,2.6933,0.181,0.0,1.9828,0.8,326,59,4,5
session_2026-08-13_12-47-42.csv,Stacjonarny-CA89EB15,Mateusz,0,,129.7487,34.894,71.6382,10.5584,10.1065,160,0.0,282.0334,600.0,0.4547,0.0,2.9615,0.2066,0.7891,0.2092,0.4064,1.5877,0.2136,0.0,1.8497,1.0,206,44,4,4
session_2026-08-13_12-47-42.csv,Phileas-PC-338CF49F4,Phileas,0,,129.9138,38.6107,93.8655,8.0155,9.2947,94,0.0,268.8748,600.0,0.254,0.0,2.937,0.287,0.7386,0.3458,0.5335,1.0084,0.3359,0.0,2.3092,1.25,131,44,5,4
session_2026-08-13_12-47-42.csv,Krystall-8CBC35F24BD,Peter,0,,145.017,22.3029,59.3092,11.1081,10.321,206,0.0,174.152,600.0,0.2276,0.0,2.9312,0.0476,0.0165,0.1507,0.3718,1.7998,0.1916,0.0,1.655,4.0,261,50,4,1
session_2026-08-13_12-47-42.csv,DESKTOP-375SOSC-ECA1,Joni,0,,139.9731,26.45,83.7034,12.0196,8.8477,127,0.0,214.4876,600.0,0.2643,0.0,2.905,0.0668,0.0651,0.2542,0.9786,1.0931,0.0588,0.0,0.4287,0.5,153,9,1,2
session_2026-08-13_12-47-42.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,129.8151,62.424,100.6026,8.5053,9.241,274,0.0,447.3165,600.0,0.624,0.0,2.9791,0.1925,0.7099,0.2168,0.7126,3.089,0.1696,0.0,0.4622,0.25,401,68,1,4
session_2026-08-13_12-51-13.csv,Phileas-PC-338CF49F4,Phileas,0,,124.7797,69.0874,106.8526,10.8509,10.5724,376,0.0,454.68,616.0327,0.585,0.0008,2.9722,0.1554,0.4442,0.1603,0.2628,3.6464,0.178,0.0,3.8468,1.6,455,81,8,5
session_2026-08-13_12-51-13.csv,Stacjonarny-CA89EB15,Mateusz,0,,129.893,46.2715,76.9076,10.3195,10.3187,201,0.0,398.1895,600.0,0.5466,0.0,2.9746,0.1048,0.2126,0.2849,0.8865,2.0709,0.2528,0.0,2.7715,1.5,269,68,6,4
session_2026-08-13_12-51-13.csv,DESKTOP-375SOSC-ECA1,Joni,0,,119.6017,52.709,111.581,17.0802,10.3871,79,0.0017,493.2224,600.0,0.5602,0.0,2.9641,0.2187,0.2551,0.3871,0.5831,0.9197,0.1455,0.0,2.0067,0.6667,110,16,4,6
session_2026-08-13_12-51-13.csv,Krystall-8CBC35F24BD,Peter,0,,124.7144,49.842,95.1115,8.6734,11.0568,334,0.0,364.2823,600.0,0.4651,0.0,2.9865,0.1077,0.4341,0.1448,0.3112,3.2955,0.2214,0.0,2.8866,1.2,411,91,6,5
session_2026-08-13_12-51-13.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,122.0441,59.1782,106.8265,8.9224,10.7828,253,0.0008,391.5912,600.0,0.59,0.0,2.9753,0.1355,0.0997,0.2144,0.3698,2.8268,0.1942,0.0,0.9833,0.3333,345,67,2,6
session_2026-08-13_12-54-03.csv,Phileas-PC-338CF49F4,Phileas,0,,129.7595,42.6554,87.206,10.3254,10.3742,293,0.0,302.0298,619.5734,0.393,0.0008,2.9538,0.1613,0.4357,0.1672,0.2925,2.6588,0.2029,0.0,3.2368,1.75,345,70,7,4
session_2026-08-13_12-54-03.csv,Stacjonarny-CA89EB15,Mateusz,0,,114.7254,41.3588,75.2253,10.8076,9.5322,75,0.0,370.7145,600.0,0.4271,0.0,2.9747,0.3341,0.8338,0.3728,0.8261,0.9414,0.2315,0.0,2.092,0.5714,108,25,4,7
session_2026-08-13_12-54-03.csv,DESKTOP-375SOSC-ECA1,Joni,0,,123.3745,47.676,96.1843,13.8222,8.5973,87,0.0008,394.8152,613.3661,0.4377,0.0008,2.9722,0.7836,1.4484,0.3072,0.4767,0.7943,0.0918,0.0,0.9726,0.3333,98,9,2,6
