SessionFile;Reason
session_2026-08-14_14-49-17.csv;Papier-Protokoll unsicher - nicht mehr rekonstruierbar, wer welchen Cheat aktiv hatte
session_2026-08-15_18-38-12.csv;Papier-Protokoll unsicher - nicht mehr rekonstruierbar, wer welchen Cheat aktiv hatte
