SessionFile,PlayerID,Person,Label,CheatType,RuleCalibrated_Frac,RuleCalibrated_Label
session_2026-08-13_19-46-13.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_19-46-13.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.8,1
session_2026-08-13_19-46-13.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_19-49-20.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_19-49-20.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_19-49-20.csv,Stacjonarny-CA89EB15,Mateusz,1,aimbot+wallhack+triggerbot+godmode,1.0,1
session_2026-08-13_19-49-20.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.9,1
session_2026-08-13_19-52-40.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_19-52-40.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_19-52-40.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_19-52-40.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_19-55-30.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_19-55-30.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_19-55-30.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_19-55-30.csv,RF-MS1-1-EF024FED46C,Nikolay,1,triggerbot+godmode,0.0,0
session_2026-08-13_19-58-20.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_19-58-20.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_19-58-20.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.2,0
session_2026-08-13_19-58-20.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_20-01-10.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,1.0,1
session_2026-08-13_20-01-10.csv,MBurgerPC-C08954A945,Maxi,1,wallhack,0.0,0
session_2026-08-13_20-01-10.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_20-01-10.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.3,0
session_2026-08-13_20-04-00.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_20-04-00.csv,MBurgerPC-C08954A945,Maxi,0,,0.3,0
session_2026-08-13_20-04-00.csv,Phileas-PC-167800BF4,Phileas,0,,0.2,0
session_2026-08-13_20-04-00.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_20-06-50.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.9,1
session_2026-08-13_20-06-50.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-06-50.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_20-06-50.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_20-10-52.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-10-52.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_20-10-52.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_20-10-52.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_20-13-42.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_20-13-42.csv,Phileas-PC-167800BF4,Phileas,1,wallhack,0.0,0
session_2026-08-13_20-13-42.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_20-13-42.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-16-32.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_20-16-32.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_20-16-32.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_20-16-32.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-19-22.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_20-19-22.csv,Phileas-PC-167800BF4,Phileas,0,,0.2,0
session_2026-08-13_20-19-22.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.2,0
session_2026-08-13_20-19-22.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-22-12.csv,RF-MS1-1-EF024FED46C,Nikolay,1,godmode+triggerbot,1.0,1
session_2026-08-13_20-22-12.csv,Phileas-PC-167800BF4,Phileas,0,,0.2,0
