tau,TP,FP,FN,TN,Precision,Recall,F1,Cost
0.1,21,80,7,188,0.2079,0.75,0.3256,150
0.2,19,11,9,257,0.6333,0.6786,0.6552,101
0.3,15,1,13,267,0.9375,0.5357,0.6818,131
0.4,13,1,15,267,0.9286,0.4643,0.619,151
0.5,11,1,17,267,0.9167,0.3929,0.55,171
0.6,7,1,21,267,0.875,0.25,0.3889,211
0.7,3,1,25,267,0.75,0.1071,0.1875,251
0.8,0,0,28,268,0.0,0.0,0.0,280
0.9,0,0,28,268,0.0,0.0,0.0,280
