Modell,CV ROC-AUC,Test ROC-AUC,Avg. Precision,Opt. Threshold τ,Kosten (τ=0.5),Kosten (opt. τ)
Logistic Regression,0.8652 ±0.1185,0.7978,0.6380,0.5,115,115
Random Forest,0.8906 ±0.1293,0.8048,0.6893,0.2,171,101
