seed,alpha,risk_tau,RAPID_FIRE,RAPID_FIRE_HIGH,REACTION_MEAN,REACTION_STD,INTERVAL_STD,AIM_FLIP_RATIO,AIM_ERROR,AIM_ERROR_HIGH,ON_TARGET_RATIO,SPEED_MAX,SPEED_VIOLATION,GOD_KILLS
6,0.01,5,9.599062098960397,9.953593585855582,0.020524999999999998,0.016185,0.006455,0.0022750000000000114,4.173551,3.363677,0.9288918729209269,848.350415000002,0.0015350000000000023,20
6,0.02,5,9.276611229896732,9.952032665358466,0.030324,0.020192,0.057956,0.0008,4.396958000000001,3.368654,0.8869615411045193,811.29574,0.0013319999999999994,20
7,0.005,5,9.637785921718423,9.881051230281965,0.0170325,0.0014819999999999996,0.0069435,0.0031860000000000013,4.0985045,3.5446828750000003,0.9004324908771456,1021.515886,0.0016,20
7,0.01,5,9.548201197835269,9.955080176805216,0.020225,0.015645,0.005235999999999999,0.0020799999999999955,4.090931,3.358937,0.9005811596161644,903.204154999999,0.0016,20
7,0.01,5,9.609047638419918,9.953816574498028,0.020479999999999998,0.016216,0.00587,0.0023199999999999987,4.161158,3.362966,0.9357585375530265,916.9573959999999,0.0016,20
7,0.01,5,9.599062098960397,9.953593585855582,0.020524999999999998,0.016185,0.006455,0.0022750000000000114,4.173551,3.363677,0.9288918729209269,848.350415000002,0.0015350000000000023,20
7,0.02,5,9.35736816191323,9.780016744132336,0.042984,0.027472,0.031020000000000013,0.0018120000000000005,5.24002,4.007802,0.9368954319116695,762.3154280000003,0.0012360000000000014,20
8,0.01,5,9.548201197835269,9.955080176805216,0.020225,0.015645,0.005235999999999999,0.0020799999999999955,4.090931,3.358937,0.9005811596161644,903.204154999999,0.0016,20
8,0.01,5,9.617923673495051,9.954014786624645,0.025212,0.016596,0.005935000000000001,0.002360000000000005,4.151519,3.362413,0.9410992767113255,918.6268680000002,0.0016,20
8,0.01,5,9.609047638419918,9.953816574498028,0.020479999999999998,0.016216,0.00587,0.0023199999999999987,4.161158,3.362966,0.9357585375530265,916.9573959999999,0.0016,20
8,0.005,5,9.637785921718423,9.881051230281965,0.0170325,0.0014819999999999996,0.0069435,0.0031860000000000013,4.0985045,3.5446828750000003,0.9004324908771456,1021.515886,0.0016,20
8,0.01,5,9.627909212954572,9.853272323104017,0.039858,0.0204,0.008470000000000002,0.0023269999999999897,4.33458,3.689209,0.9822587323849596,768.4559929999982,0.001265999999999991,20
9,0.02,5,9.075471939919769,9.668960875177058,0.030812,0.018088,0.027780000000000013,0.0017,4.935830000000001,4.089798500000001,0.8876811395699219,811.5975759999992,0.0014519999999999926,20
9,0.01,5,9.617923673495051,9.954014786624645,0.025212,0.016596,0.005935000000000001,0.002360000000000005,4.151519,3.362413,0.9410992767113255,918.6268680000002,0.0016,20
9,0.01,5,9.609047638419918,9.953816574498028,0.020479999999999998,0.016216,0.00587,0.0023199999999999987,4.161158,3.362966,0.9357585375530265,916.9573959999999,0.0016,20
9,0.02,5,9.298973285065344,9.929318590798427,0.04159,0.02405,0.011190000000000002,0.0018399999999999977,4.536226,3.42975,0.8953061224489797,683.1218899999997,0.0013199999999999933,20
9,0.005,5,9.499003055810311,9.844870285864923,0.0167,0.011231999999999999,0.00753,0.002864000000000007,3.8710690000000003,3.4749422500000002,0.8903893571080309,942.3523880000001,0.0015840000000000003,20
