Modell,CV ROC-AUC,Test ROC-AUC,Avg. Precision,Opt. Threshold τ,Kosten (τ=0.5),Kosten (opt. τ)
Logistic Regression,1.0000 ±0.0001,1.0000,1.0000,0.5,1,1
Random Forest,1.0000 ±0.0000,1.0000,1.0000,0.4,0,0
