tau,TP,FP,FN,TN,Precision,Recall,F1,Cost
0.1,50,8,0,942,0.8621,1.0,0.9259,8
0.2,50,6,0,944,0.8929,1.0,0.9434,6
0.3,50,4,0,946,0.9259,1.0,0.9615,4
0.4,50,2,0,948,0.9615,1.0,0.9804,2
0.5,50,1,0,949,0.9804,1.0,0.9901,1
0.6,50,1,0,949,0.9804,1.0,0.9901,1
0.7,50,1,0,949,0.9804,1.0,0.9901,1
0.8,49,0,1,950,1.0,0.98,0.9899,10
0.9,48,0,2,950,1.0,0.96,0.9796,20
