tau,TP,FP,FN,TN,Precision,Recall,F1,Cost
0.1,50,1,0,949,0.9804,1.0,0.9901,1
0.2,50,0,0,950,1.0,1.0,1.0,0
0.3,50,0,0,950,1.0,1.0,1.0,0
0.4,49,0,1,950,1.0,0.98,0.9899,10
0.5,49,0,1,950,1.0,0.98,0.9899,10
0.6,49,0,1,950,1.0,0.98,0.9899,10
0.7,47,0,3,950,1.0,0.94,0.9691,30
0.8,45,0,5,950,1.0,0.9,0.9474,50
0.9,33,0,17,950,1.0,0.66,0.7952,170
